,0,1,2,3
509,[],0,[],[]
510,['wildboar'],1,[57.13176727294922],"[[0, 303, 351, 905]]"
511,[],0,[],[]
512,[],0,[],[]
513,['wildboar'],1,[55.77903985977173],"[[1, 271, 328, 888]]"
514,['wildboar'],1,[57.18575716018677],"[[0, 274, 303, 924]]"
515,[],0,[],[]
516,[],0,[],[]
517,['wildboar'],1,[59.7416877746582],"[[0, 277, 367, 918]]"
518,[],0,[],[]
519,['wildboar'],1,[76.17112398147583],"[[0, 283, 359, 903]]"
520,['wildboar'],1,[64.10621404647827],"[[0, 227, 390, 907]]"
521,['wildboar'],1,[67.99017786979675],"[[0, 287, 356, 933]]"
522,['wildboar'],1,[84.23736095428467],"[[0, 253, 379, 890]]"
523,['wildboar'],1,[73.16413521766663],"[[0, 266, 358, 905]]"
524,['wildboar'],1,[64.01137113571167],"[[0, 313, 350, 896]]"
525,['wildboar'],1,[62.475597858428955],"[[0, 314, 365, 905]]"
526,['wildboar'],1,[52.24595069885254],"[[0, 302, 344, 906]]"
527,[],0,[],[]
528,[],0,[],[]
529,['wildboar'],1,[58.25493335723877],"[[0, 296, 380, 916]]"
530,['wildboar'],1,[76.27220153808594],"[[0, 296, 378, 867]]"
531,['wildboar'],1,[73.8523781299591],"[[0, 307, 370, 865]]"
532,['wildboar'],1,[58.13170671463013],"[[0, 289, 340, 886]]"
533,['wildboar'],1,[57.09084868431091],"[[0, 326, 411, 931]]"
534,['wildboar'],1,[50.40475130081177],"[[0, 330, 429, 913]]"
535,['wildboar'],1,[74.59525465965271],"[[0, 301, 378, 893]]"
536,[],0,[],[]
537,[],0,[],[]
538,[],0,[],[]
539,['wildboar'],1,[63.43879699707031],"[[0, 314, 363, 891]]"
540,[],0,[],[]
541,[],0,[],[]
542,['raccoon'],1,[53.141456842422485],"[[569, 164, 772, 352]]"
543,[],0,[],[]
544,[],0,[],[]
545,[],0,[],[]
546,[],0,[],[]
547,[],0,[],[]
548,[],0,[],[]
549,[],0,[],[]
550,[],0,[],[]
551,[],0,[],[]
552,['wildboar'],1,[59.78931784629822],"[[0, 277, 392, 895]]"
553,['wildboar'],1,[55.413657426834106],"[[0, 300, 345, 862]]"
554,['wildboar'],1,[70.169198513031],"[[0, 254, 353, 939]]"
555,[],0,[],[]
556,['wildboar'],1,[57.8508734703064],"[[0, 311, 354, 897]]"
557,['wildboar'],1,[66.89926385879517],"[[0, 275, 362, 909]]"
558,[],0,[],[]
559,[],0,[],[]
560,['wildboar'],1,[61.06752157211304],"[[0, 312, 384, 901]]"
561,[],0,[],[]
562,['wildboar'],1,[63.60740661621094],"[[0, 277, 350, 929]]"
563,[],0,[],[]
564,[],0,[],[]
565,[],0,[],[]
566,[],0,[],[]
567,[],0,[],[]
568,[],0,[],[]
569,[],0,[],[]
570,[],0,[],[]
571,[],0,[],[]
572,[],0,[],[]
573,['wildboar'],1,[50.101202726364136],"[[0, 284, 339, 913]]"
574,[],0,[],[]
575,[],0,[],[]
